Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
11,7.0,365.0,20.0,76224.0,957.0,99.0,1000.0,5000.0,500.0,50000.0,1
30,33.0,300.0,40.0,95648.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
39,37.0,343.0,27.0,88177.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
68,30.0,141.0,37.0,98455.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
74,29.0,235.0,48.0,88206.0,987.0,100.0,1000.0,5000.0,500.0,50000.0,1
66,36.0,133.0,28.0,90612.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
49,34.0,104.0,23.0,85127.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
43,28.0,119.0,33.0,98680.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
76,24.0,278.0,48.0,88404.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
60,30.0,220.0,47.0,89723.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
40,25.0,249.0,50.0,85678.0,981.0,100.0,1000.0,5000.0,500.0,50000.0,1
45,6.0,191.0,33.0,92446.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
63,28.0,336.0,38.0,98748.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
31,32.0,278.0,43.0,93139.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
14,22.0,249.0,50.0,85315.0,980.0,100.0,1000.0,5000.0,500.0,50000.0,1
27,8.0,206.0,38.0,94279.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
14,27.0,90.0,25.0,91268.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
48,6.0,365.0,18.0,71112.0,933.0,99.0,999.0,4998.0,500.0,50000.0,1
61,19.0,133.0,38.0,99559.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
74,35.0,351.0,28.0,91369.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
25,5.0,141.0,23.0,80738.0,976.0,100.0,1000.0,5000.0,500.0,50000.0,1
25,31.0,264.0,45.0,91065.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
64,30.0,119.0,31.0,97234.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
34,33.0,90.0,20.0,79208.0,964.0,99.0,1000.0,5000.0,500.0,50000.0,1
17,5.0,206.0,32.0,91254.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
8,36.0,206.0,39.0,94285.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
54,17.0,278.0,47.0,89995.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
66,19.0,148.0,41.0,98032.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
18,10.0,90.0,18.0,73288.0,940.0,99.0,1000.0,4999.0,500.0,50000.0,1
37,5.0,343.0,22.0,78160.0,967.0,100.0,1000.0,5000.0,500.0,50000.0,1
68,11.0,300.0,39.0,95787.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
39,7.0,343.0,26.0,86337.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
22,20.0,97.0,28.0,95809.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0
38,30.0,278.0,45.0,91669.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
39,34.0,148.0,34.0,96143.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
12,28.0,256.0,48.0,87920.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
21,37.0,351.0,25.0,85730.0,987.0,100.0,1000.0,5000.0,500.0,50000.0,1
68,27.0,322.0,42.0,96934.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
32,4.0,112.0,14.0,57364.0,841.0,97.0,995.0,4987.0,500.0,49993.0,1
69,38.0,155.0,29.0,90184.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
17,37.0,141.0,28.0,89833.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
20,39.0,141.0,24.0,83214.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
60,9.0,162.0,34.0,95215.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
18,37.0,155.0,31.0,92453.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
72,33.0,141.0,34.0,96690.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
58,12.0,199.0,43.0,93705.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
39,8.0,235.0,39.0,93816.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
64,22.0,148.0,41.0,97918.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
25,17.0,112.0,31.0,97927.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,0
45,16.0,184.0,45.0,92976.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
13,23.0,220.0,50.0,85790.0,981.0,100.0,1000.0,5000.0,500.0,50000.0,1
38,31.0,351.0,33.0,97414.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
59,24.0,278.0,48.0,88404.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
53,8.0,97.0,17.0,70010.0,925.0,99.0,999.0,4998.0,500.0,50000.0,1
66,4.0,155.0,24.0,81228.0,979.0,100.0,1000.0,5000.0,500.0,50000.0,1
52,15.0,184.0,44.0,93553.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
37,28.0,307.0,43.0,94844.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
11,37.0,322.0,31.0,92589.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
54,39.0,177.0,31.0,90635.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
40,13.0,242.0,46.0,90757.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
48,40.0,126.0,19.0,71673.0,938.0,99.0,1000.0,4999.0,500.0,50000.0,1
55,25.0,126.0,36.0,99875.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
48,6.0,249.0,35.0,92917.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0
75,27.0,242.0,49.0,86565.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
21,27.0,199.0,47.0,89740.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
23,13.0,97.0,24.0,87637.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
71,8.0,271.0,38.0,94255.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
69,35.0,141.0,31.0,94119.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,1
41,33.0,249.0,44.0,92076.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
5,29.0,97.0,26.0,92242.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0
76,3.0,162.0,23.0,78667.0,972.0,100.0,1000.0,5000.0,500.0,50000.0,1
12,37.0,329.0,30.0,91531.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
46,15.0,199.0,46.0,91563.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
56,3.0,242.0,30.0,87221.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
38,31.0,177.0,42.0,95173.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
13,34.0,365.0,26.0,88971.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
58,28.0,162.0,42.0,96193.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
40,17.0,271.0,48.0,89050.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
31,36.0,235.0,40.0,93660.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
75,37.0,256.0,38.0,93788.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,1
41,33.0,220.0,44.0,92383.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
50,29.0,358.0,33.0,98185.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
26,34.0,155.0,35.0,96375.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
37,28.0,97.0,27.0,93459.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
23,40.0,184.0,30.0,88858.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
58,2.0,322.0,20.0,70795.0,937.0,99.0,1000.0,4999.0,500.0,50000.0,1
70,19.0,177.0,45.0,92907.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
54,18.0,104.0,30.0,96986.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
34,24.0,191.0,47.0,89794.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
73,15.0,351.0,34.0,98490.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
68,14.0,351.0,33.0,97800.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
45,31.0,365.0,29.0,94776.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
74,25.0,329.0,41.0,97810.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
72,23.0,336.0,40.0,98775.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
44,20.0,278.0,48.0,88558.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
60,7.0,307.0,32.0,92971.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
73,11.0,358.0,28.0,92419.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
62,36.0,97.0,18.0,72882.0,939.0,99.0,1000.0,4999.0,500.0,50000.0,1
13,32.0,271.0,44.0,92482.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
9,12.0,133.0,32.0,96543.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
10,34.0,162.0,36.0,96348.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
78,10.0,155.0,34.0,95952.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
59,38.0,97.0,15.0,62120.0,875.0,98.0,997.0,4992.0,500.0,49997.0,1
73,34.0,285.0,40.0,94736.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
7,38.0,285.0,34.0,93217.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
64,2.0,271.0,26.0,82333.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
20,19.0,97.0,28.0,95382.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0
62,30.0,170.0,42.0,95743.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
11,17.0,235.0,49.0,87070.0,984.0,100.0,1000.0,5000.0,500.0,50000.0,1
31,32.0,242.0,45.0,91056.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
5,23.0,322.0,43.0,96498.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
51,14.0,329.0,38.0,97994.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
61,6.0,148.0,27.0,86943.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
20,31.0,307.0,41.0,95916.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
21,25.0,220.0,49.0,86202.0,982.0,100.0,1000.0,5000.0,500.0,50000.0,1
62,6.0,293.0,32.0,92162.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
16,39.0,112.0,17.0,68013.0,916.0,99.0,999.0,4997.0,500.0,49999.0,1
36,37.0,293.0,35.0,94182.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
75,19.0,271.0,48.0,87893.0,985.0,100.0,1000.0,5000.0,500.0,50000.0,1
32,40.0,184.0,30.0,88858.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
64,9.0,329.0,32.0,94275.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,1
49,40.0,184.0,30.0,88858.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,1
47,27.0,213.0,48.0,87913.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
77,22.0,191.0,48.0,89746.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
34,38.0,329.0,28.0,88975.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
52,20.0,256.0,49.0,85998.0,981.0,100.0,1000.0,5000.0,500.0,50000.0,1
66,34.0,184.0,40.0,95308.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
75,26.0,220.0,49.0,86659.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
13,34.0,141.0,32.0,95584.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
8,31.0,228.0,46.0,90296.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
72,29.0,126.0,34.0,98719.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
66,26.0,358.0,34.0,99558.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
35,37.0,199.0,37.0,94131.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
47,12.0,307.0,39.0,96278.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
56,3.0,322.0,22.0,76661.0,964.0,100.0,1000.0,5000.0,500.0,50000.0,1
11,27.0,285.0,47.0,90692.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
59,27.0,228.0,49.0,86817.0,984.0,100.0,1000.0,5000.0,500.0,50000.0,1
20,19.0,133.0,38.0,99559.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,0
32,37.0,235.0,38.0,93672.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
61,11.0,104.0,24.0,86330.0,985.0,100.0,1000.0,5000.0,500.0,50000.0,1
74,3.0,119.0,14.0,55736.0,828.0,97.0,994.0,4984.0,500.0,49991.0,1
61,9.0,329.0,32.0,94275.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,1
10,25.0,271.0,49.0,87629.0,985.0,100.0,1000.0,5000.0,500.0,50000.0,1
43,10.0,170.0,37.0,95987.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
73,2.0,126.0,14.0,53312.0,808.0,96.0,992.0,4980.0,500.0,49987.0,1
60,12.0,162.0,38.0,96867.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
53,15.0,264.0,47.0,89893.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
8,6.0,285.0,33.0,92486.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
23,8.0,104.0,19.0,75456.0,952.0,99.0,1000.0,4999.0,500.0,50000.0,1
42,36.0,112.0,22.0,82272.0,977.0,100.0,1000.0,5000.0,500.0,50000.0,1
36,15.0,141.0,37.0,98614.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,0
27,24.0,285.0,48.0,89605.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
55,12.0,278.0,43.0,93610.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
8,10.0,300.0,38.0,95700.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
52,16.0,314.0,42.0,96239.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
36,14.0,307.0,41.0,95861.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
58,2.0,256.0,27.0,83358.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
8,16.0,162.0,42.0,96397.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,0
32,25.0,191.0,47.0,90028.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
45,14.0,162.0,40.0,96837.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,0
43,34.0,184.0,40.0,95308.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
23,13.0,97.0,24.0,87637.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
35,30.0,220.0,47.0,89723.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
77,1.0,184.0,22.0,73514.0,952.0,99.0,1000.0,4999.0,500.0,50000.0,1
20,28.0,293.0,45.0,92419.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
26,29.0,249.0,48.0,88376.0,987.0,100.0,1000.0,5000.0,500.0,50000.0,1
36,31.0,293.0,43.0,94138.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
68,33.0,329.0,35.0,96998.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
62,1.0,365.0,8.0,30990.0,549.0,79.0,923.0,4851.0,499.0,49621.0,1
75,7.0,271.0,36.0,93772.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
78,13.0,155.0,38.0,97459.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
71,34.0,206.0,42.0,93838.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
21,39.0,126.0,21.0,77005.0,962.0,99.0,1000.0,5000.0,500.0,50000.0,1
72,6.0,351.0,22.0,79484.0,971.0,100.0,1000.0,5000.0,500.0,50000.0,1
70,27.0,343.0,37.0,99333.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
36,19.0,264.0,49.0,87050.0,984.0,100.0,1000.0,5000.0,500.0,50000.0,1
11,1.0,343.0,13.0,50855.0,786.0,95.0,989.0,4974.0,500.0,49980.0,1
35,38.0,213.0,36.0,93343.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0
39,15.0,307.0,42.0,95510.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
56,40.0,343.0,21.0,76084.0,959.0,99.0,1000.0,5000.0,500.0,50000.0,1
34,15.0,235.0,47.0,88826.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1
67,36.0,126.0,26.0,88472.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
32,11.0,170.0,38.0,96298.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
18,3.0,249.0,29.0,87127.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
45,36.0,256.0,40.0,93848.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,1
64,40.0,228.0,33.0,90873.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,1
78,30.0,351.0,34.0,98192.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
33,20.0,264.0,49.0,86658.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
42,8.0,90.0,15.0,63545.0,884.0,98.0,998.0,4994.0,500.0,49998.0,1
6,34.0,285.0,40.0,94736.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
13,26.0,358.0,34.0,99558.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
64,20.0,351.0,36.0,99908.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
16,7.0,184.0,34.0,93613.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
31,25.0,148.0,41.0,97971.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
19,3.0,112.0,12.0,49356.0,768.0,94.0,987.0,4969.0,500.0,49972.0,1
11,37.0,293.0,35.0,94182.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
77,11.0,322.0,36.0,96717.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1
74,22.0,213.0,49.0,86547.0,982.0,100.0,1000.0,5000.0,500.0,50000.0,1
52,40.0,170.0,28.0,86885.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1
6,2.0,97.0,6.0,23067.0,429.0,67.0,843.0,4690.0,494.0,49019.0,1
31,23.0,293.0,47.0,90837.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
10,18.0,314.0,43.0,95679.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
50,20.0,104.0,30.0,97840.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
31,3.0,119.0,14.0,55736.0,828.0,97.0,994.0,4984.0,500.0,49991.0,1
61,17.0,155.0,41.0,97235.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1
62,16.0,199.0,46.0,90827.0,990.0,100.0,1000.0,5000.0,500.0,50000.0,1
10,6.0,112.0,18.0,70363.0,929.0,99.0,999.0,4998.0,500.0,50000.0,1
10,37.0,155.0,31.0,92453.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
66,5.0,285.0,31.0,90623.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
41,11.0,206.0,42.0,93723.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0
59,1.0,191.0,23.0,75096.0,960.0,100.0,1000.0,5000.0,500.0,50000.0,1
75,4.0,235.0,32.0,89826.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0
12,12.0,329.0,36.0,97307.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0
18,17.0,264.0,48.0,88263.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
17,9.0,307.0,35.0,95370.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0
68,30.0,242.0,47.0,89129.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1
34,37.0,126.0,25.0,85316.0,986.0,100.0,1000.0,5000.0,500.0,50000.0,1
20,9.0,271.0,39.0,94345.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0
64,14.0,170.0,41.0,95995.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1
76,12.0,191.0,42.0,94376.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1
57,38.0,307.0,32.0,92162.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,1
26,1.0,133.0,13.0,50051.0,778.0,95.0,988.0,4972.0,500.0,49977.0,1
73,15.0,271.0,46.0,90592.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1
36,24.0,213.0,49.0,86606.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1
39,7.0,365.0,20.0,76224.0,957.0,99.0,1000.0,5000.0,500.0,50000.0,1
