Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
61,10.0,133.0,28.0,76748.0,827.0,85.0,579.0,3099.0,313.0,35012.0,0
8,36.0,256.0,38.0,74776.0,924.0,93.0,419.0,2310.0,368.0,28124.0,0
73,18.0,307.0,43.0,76897.0,675.0,77.0,763.0,4056.0,247.0,39680.0,1
34,9.0,213.0,39.0,75381.0,876.0,91.0,497.0,2718.0,341.0,30371.0,0
18,38.0,293.0,31.0,68556.0,964.0,90.0,364.0,1938.0,386.0,30677.0,0
8,34.0,285.0,39.0,78832.0,861.0,93.0,512.0,2833.0,336.0,28860.0,0
20,10.0,285.0,39.0,79143.0,850.0,92.0,528.0,2922.0,330.0,29264.0,0
5,10.0,112.0,22.0,50082.0,540.0,53.0,907.0,4630.0,193.0,48987.0,0
10,9.0,300.0,35.0,81731.0,883.0,96.0,471.0,2660.0,350.0,25568.0,0
79,20.0,213.0,49.0,44266.0,282.0,43.0,996.0,4992.0,159.0,50000.0,1
32,1.0,235.0,23.0,22776.0,286.0,62.0,973.0,4995.0,167.0,46708.0,1
25,28.0,314.0,41.0,84614.0,710.0,88.0,704.0,3865.0,268.0,32590.0,0
51,32.0,90.0,17.0,20118.0,10.0,9.0,605.0,2330.0,304.0,40548.0,1
50,29.0,293.0,44.0,72387.0,707.0,77.0,734.0,3883.0,257.0,40223.0,1
10,26.0,199.0,47.0,55720.0,499.0,56.0,927.0,4752.0,185.0,48438.0,1
40,23.0,278.0,48.0,51922.0,422.0,51.0,966.0,4917.0,170.0,49446.0,1
15,33.0,213.0,42.0,71120.0,802.0,83.0,614.0,3279.0,300.0,36315.0,0
30,40.0,351.0,15.0,100.0,10.0,1.0,10.0,10.0,198.0,100.0,1
6,26.0,162.0,42.0,82397.0,685.0,84.0,739.0,4003.0,255.0,35778.0,0
59,28.0,213.0,47.0,53743.0,497.0,56.0,927.0,4757.0,185.0,48378.0,1
75,17.0,264.0,48.0,50288.0,421.0,51.0,965.0,4918.0,171.0,49366.0,1
57,4.0,351.0,15.0,100.0,10.0,1.0,10.0,10.0,500.0,100.0,1
76,36.0,264.0,37.0,75432.0,926.0,94.0,414.0,2292.0,369.0,27639.0,1
15,20.0,343.0,36.0,98479.0,588.0,99.0,778.0,4459.0,241.0,22994.0,1
65,24.0,170.0,44.0,75003.0,657.0,75.0,785.0,4148.0,238.0,41322.0,1
36,15.0,314.0,40.0,85728.0,719.0,90.0,689.0,3813.0,273.0,31035.0,0
78,8.0,213.0,38.0,75997.0,914.0,94.0,433.0,2397.0,363.0,27923.0,0
39,3.0,322.0,20.0,10655.0,10.0,33.0,640.0,2526.0,292.0,49200.0,1
66,7.0,112.0,17.0,5793.0,10.0,1.0,10.0,10.0,500.0,35647.0,1
77,1.0,249.0,23.0,22085.0,263.0,61.0,974.0,4982.0,167.0,46986.0,1
29,10.0,177.0,37.0,82826.0,850.0,96.0,519.0,2924.0,334.0,26278.0,0
12,18.0,119.0,32.0,97674.0,601.0,97.0,774.0,4404.0,242.0,24751.0,0
27,2.0,119.0,8.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
22,28.0,148.0,38.0,92408.0,680.0,96.0,711.0,4034.0,265.0,25801.0,0
33,38.0,104.0,12.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
8,23.0,235.0,50.0,37822.0,136.0,35.0,974.0,4769.0,168.0,49549.0,1
19,13.0,148.0,35.0,91436.0,736.0,98.0,647.0,3711.0,288.0,23785.0,0
52,28.0,235.0,48.0,48666.0,412.0,51.0,968.0,4930.0,170.0,49365.0,1
35,36.0,228.0,38.0,74293.0,922.0,93.0,423.0,2324.0,366.0,28485.0,0
19,35.0,351.0,24.0,58640.0,724.0,67.0,734.0,3783.0,257.0,44762.0,1
16,32.0,220.0,44.0,66253.0,737.0,76.0,704.0,3704.0,268.0,40636.0,0
11,28.0,97.0,24.0,70250.0,643.0,64.0,817.0,4216.0,227.0,46171.0,0
52,39.0,170.0,26.0,53579.0,832.0,77.0,589.0,3059.0,309.0,39775.0,0
54,11.0,126.0,28.0,77771.0,796.0,83.0,621.0,3319.0,298.0,36142.0,0
21,14.0,271.0,45.0,63342.0,651.0,68.0,802.0,4177.0,232.0,44317.0,0
57,37.0,199.0,34.0,74728.0,961.0,95.0,356.0,1972.0,389.0,26624.0,0
51,22.0,322.0,42.0,86283.0,660.0,86.0,756.0,4135.0,249.0,33858.0,1
74,10.0,256.0,41.0,72313.0,829.0,85.0,574.0,3084.0,314.0,34464.0,1
46,3.0,191.0,25.0,42851.0,717.0,74.0,731.0,3827.0,259.0,41833.0,0
10,13.0,256.0,45.0,62161.0,662.0,69.0,792.0,4124.0,236.0,44045.0,0
62,12.0,191.0,42.0,75769.0,783.0,85.0,633.0,3410.0,294.0,35084.0,0
5,40.0,112.0,10.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
64,26.0,314.0,42.0,82468.0,685.0,84.0,739.0,4004.0,255.0,35726.0,1
47,10.0,141.0,30.0,81057.0,838.0,90.0,549.0,3015.0,323.0,30660.0,0
10,14.0,285.0,44.0,70544.0,710.0,76.0,733.0,3867.0,258.0,40721.0,0
73,29.0,322.0,39.0,89401.0,713.0,94.0,683.0,3847.0,275.0,27440.0,1
79,5.0,104.0,11.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
52,30.0,264.0,46.0,60893.0,633.0,67.0,821.0,4265.0,225.0,45082.0,1
29,34.0,170.0,36.0,83457.0,860.0,97.0,502.0,2847.0,339.0,25302.0,0
64,22.0,199.0,48.0,51816.0,419.0,50.0,967.0,4920.0,170.0,49467.0,1
22,9.0,314.0,33.0,82011.0,879.0,96.0,478.0,2692.0,348.0,26229.0,0
28,4.0,343.0,17.0,100.0,10.0,1.0,10.0,10.0,500.0,28009.0,1
37,12.0,256.0,44.0,65958.0,725.0,75.0,720.0,3780.0,262.0,41212.0,0
16,27.0,358.0,31.0,95621.0,633.0,96.0,753.0,4267.0,250.0,26098.0,1
31,26.0,155.0,41.0,87495.0,676.0,89.0,734.0,4053.0,257.0,31765.0,0
30,16.0,155.0,40.0,88930.0,692.0,92.0,711.0,3967.0,266.0,29270.0,0
42,25.0,126.0,34.0,99247.0,586.0,100.0,777.0,4468.0,241.0,22363.0,1
62,36.0,184.0,34.0,78032.0,929.0,96.0,404.0,2261.0,373.0,26132.0,0
35,15.0,199.0,45.0,63518.0,633.0,67.0,820.0,4264.0,225.0,44908.0,1
17,6.0,242.0,35.0,72376.0,979.0,95.0,327.0,1799.0,398.0,26845.0,0
29,7.0,177.0,32.0,75013.0,943.0,93.0,391.0,2141.0,377.0,28256.0,0
42,34.0,97.0,17.0,13663.0,10.0,5.0,342.0,663.0,393.0,38064.0,1
53,14.0,97.0,22.0,59531.0,570.0,54.0,887.0,4525.0,201.0,48868.0,1
56,36.0,271.0,37.0,76194.0,928.0,95.0,410.0,2275.0,371.0,27089.0,0
54,12.0,162.0,37.0,87295.0,781.0,96.0,603.0,3420.0,304.0,25762.0,0
56,36.0,358.0,21.0,34593.0,288.0,44.0,995.0,4995.0,159.0,49986.0,1
33,8.0,155.0,30.0,75259.0,899.0,90.0,467.0,2527.0,351.0,31370.0,0
37,37.0,170.0,30.0,71771.0,940.0,90.0,403.0,2165.0,373.0,30766.0,0
7,2.0,358.0,8.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
58,37.0,90.0,9.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
13,33.0,256.0,42.0,69608.0,792.0,81.0,629.0,3345.0,295.0,37302.0,0
34,14.0,213.0,46.0,60447.0,620.0,66.0,834.0,4324.0,220.0,45505.0,1
75,5.0,249.0,32.0,68228.0,996.0,93.0,305.0,1636.0,406.0,28403.0,0
27,26.0,271.0,48.0,51541.0,435.0,52.0,960.0,4895.0,173.0,49266.0,1
30,34.0,155.0,33.0,83752.0,855.0,96.0,511.0,2883.0,336.0,26049.0,0
55,2.0,343.0,12.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
7,25.0,104.0,28.0,89518.0,639.0,85.0,778.0,4239.0,241.0,34866.0,0
16,39.0,343.0,19.0,10841.0,10.0,23.0,527.0,1794.0,331.0,46984.0,1
48,14.0,358.0,29.0,87775.0,717.0,89.0,694.0,3828.0,271.0,31721.0,1
40,35.0,329.0,30.0,76817.0,879.0,89.0,497.0,2694.0,341.0,31579.0,0
47,6.0,191.0,32.0,71523.0,970.0,93.0,348.0,1887.0,391.0,28647.0,0
40,9.0,249.0,40.0,73637.0,869.0,89.0,510.0,2771.0,337.0,31699.0,0
41,5.0,271.0,31.0,67062.0,985.0,91.0,328.0,1746.0,398.0,29833.0,0
9,26.0,293.0,46.0,65862.0,616.0,66.0,835.0,4340.0,220.0,45188.0,1
26,27.0,285.0,46.0,62764.0,599.0,64.0,852.0,4414.0,214.0,46021.0,1
5,20.0,90.0,23.0,70362.0,597.0,60.0,860.0,4421.0,211.0,47469.0,0
27,1.0,293.0,19.0,603.0,10.0,27.0,132.0,10.0,458.0,47942.0,1
58,29.0,336.0,35.0,94286.0,683.0,99.0,699.0,4016.0,269.0,23261.0,1
21,16.0,307.0,42.0,79803.0,706.0,82.0,722.0,3889.0,262.0,36548.0,0
29,29.0,322.0,39.0,89401.0,713.0,94.0,683.0,3847.0,275.0,27440.0,1
42,1.0,336.0,11.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
60,40.0,133.0,16.0,100.0,10.0,1.0,10.0,10.0,500.0,17110.0,1
16,15.0,293.0,44.0,72179.0,699.0,76.0,744.0,3927.0,254.0,40637.0,0
55,7.0,213.0,36.0,75147.0,949.0,95.0,375.0,2079.0,383.0,26677.0,0
44,38.0,249.0,34.0,71178.0,988.0,95.0,313.0,1712.0,403.0,27076.0,0
45,4.0,141.0,19.0,8587.0,10.0,23.0,439.0,1227.0,361.0,46847.0,1
44,16.0,104.0,26.0,82051.0,682.0,78.0,756.0,4022.0,249.0,39417.0,0
24,6.0,155.0,26.0,57837.0,828.0,76.0,596.0,3088.0,307.0,40386.0,0
64,28.0,351.0,33.0,95828.0,649.0,98.0,733.0,4189.0,257.0,24117.0,1
10,1.0,141.0,11.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
77,20.0,104.0,28.0,91081.0,624.0,86.0,786.0,4305.0,238.0,33881.0,1
70,29.0,307.0,41.0,81428.0,731.0,86.0,688.0,3744.0,274.0,34114.0,1
53,3.0,133.0,15.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
77,24.0,206.0,49.0,48105.0,358.0,47.0,985.0,4986.0,163.0,49837.0,1
59,25.0,249.0,49.0,41179.0,224.0,40.0,993.0,4941.0,160.0,49944.0,1
35,24.0,162.0,43.0,80894.0,670.0,81.0,761.0,4086.0,247.0,37638.0,0
71,7.0,358.0,19.0,22440.0,10.0,30.0,875.0,4069.0,206.0,48768.0,1
63,13.0,126.0,30.0,88223.0,741.0,92.0,661.0,3684.0,283.0,29371.0,0
60,10.0,112.0,22.0,50082.0,540.0,53.0,907.0,4630.0,193.0,48987.0,1
51,30.0,170.0,41.0,82796.0,751.0,89.0,658.0,3618.0,285.0,31889.0,0
29,38.0,141.0,23.0,39862.0,510.0,58.0,918.0,4723.0,189.0,47920.0,1
39,27.0,235.0,49.0,45298.0,333.0,46.0,990.0,4998.0,161.0,49876.0,1
67,6.0,177.0,30.0,68758.0,948.0,89.0,393.0,2089.0,376.0,31726.0,0
27,35.0,264.0,39.0,75115.0,888.0,91.0,478.0,2620.0,348.0,29877.0,0
20,5.0,206.0,31.0,67072.0,985.0,91.0,328.0,1745.0,398.0,29822.0,0
31,23.0,148.0,40.0,91281.0,641.0,92.0,758.0,4229.0,248.0,29629.0,0
57,31.0,322.0,37.0,89371.0,757.0,97.0,629.0,3584.0,295.0,24921.0,1
28,23.0,314.0,43.0,80638.0,666.0,80.0,765.0,4104.0,246.0,37980.0,1
41,1.0,155.0,15.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
40,8.0,133.0,25.0,59358.0,759.0,70.0,691.0,3564.0,273.0,43421.0,0
21,10.0,307.0,36.0,84205.0,847.0,97.0,519.0,2945.0,334.0,25265.0,0
24,7.0,264.0,36.0,75152.0,949.0,95.0,375.0,2079.0,383.0,26674.0,0
22,16.0,90.0,21.0,57055.0,498.0,48.0,937.0,4755.0,182.0,49767.0,0
67,36.0,228.0,38.0,74293.0,922.0,93.0,423.0,2324.0,366.0,28485.0,0
63,22.0,141.0,38.0,95487.0,612.0,96.0,769.0,4357.0,244.0,25831.0,1
69,2.0,358.0,8.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
38,12.0,191.0,42.0,75769.0,783.0,85.0,633.0,3410.0,294.0,35084.0,0
60,29.0,358.0,30.0,90472.0,694.0,92.0,710.0,3954.0,266.0,29703.0,1
71,40.0,104.0,8.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
23,16.0,329.0,38.0,92646.0,673.0,96.0,718.0,4071.0,263.0,25928.0,0
17,33.0,97.0,18.0,27654.0,10.0,24.0,894.0,4193.0,199.0,47044.0,1
7,32.0,336.0,32.0,88452.0,780.0,96.0,604.0,3427.0,304.0,25694.0,0
63,30.0,351.0,31.0,90815.0,716.0,94.0,680.0,3830.0,277.0,27433.0,1
43,34.0,177.0,37.0,82252.0,862.0,96.0,502.0,2830.0,339.0,26132.0,0
67,17.0,329.0,39.0,92413.0,660.0,95.0,732.0,4134.0,257.0,26992.0,1
48,39.0,191.0,29.0,62546.0,956.0,87.0,385.0,2017.0,379.0,33012.0,0
25,12.0,249.0,44.0,64700.0,713.0,74.0,734.0,3846.0,257.0,41870.0,0
9,16.0,278.0,46.0,60554.0,584.0,63.0,866.0,4474.0,209.0,46542.0,0
72,4.0,97.0,6.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
5,13.0,155.0,37.0,89766.0,746.0,97.0,641.0,3649.0,291.0,25059.0,0
70,20.0,206.0,49.0,47969.0,354.0,47.0,986.0,4988.0,163.0,49857.0,1
64,1.0,126.0,8.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
40,37.0,90.0,9.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
48,18.0,285.0,47.0,60371.0,556.0,60.0,888.0,4576.0,200.0,47260.0,1
62,20.0,322.0,41.0,86515.0,662.0,87.0,753.0,4126.0,250.0,33541.0,1
9,23.0,162.0,43.0,80560.0,666.0,80.0,765.0,4105.0,246.0,38033.0,0
54,35.0,256.0,39.0,74142.0,884.0,90.0,486.0,2649.0,345.0,30623.0,0
48,28.0,351.0,33.0,95828.0,649.0,98.0,733.0,4189.0,257.0,24117.0,1
48,6.0,322.0,26.0,57763.0,827.0,76.0,598.0,3095.0,306.0,40433.0,0
6,2.0,112.0,6.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
12,28.0,141.0,36.0,94978.0,661.0,99.0,720.0,4130.0,262.0,23548.0,0
17,22.0,285.0,47.0,57011.0,497.0,56.0,928.0,4757.0,185.0,48508.0,1
30,11.0,162.0,36.0,86617.0,811.0,97.0,565.0,3216.0,318.0,24894.0,0
67,9.0,133.0,27.0,69028.0,820.0,78.0,603.0,3150.0,305.0,39225.0,0
76,18.0,358.0,32.0,97645.0,602.0,97.0,774.0,4403.0,242.0,24797.0,1
41,19.0,119.0,32.0,98697.0,585.0,98.0,784.0,4471.0,238.0,24072.0,0
73,34.0,213.0,41.0,73568.0,847.0,87.0,545.0,2948.0,325.0,32936.0,1
6,6.0,199.0,33.0,72125.0,975.0,94.0,338.0,1842.0,395.0,27806.0,0
33,12.0,365.0,25.0,68718.0,716.0,69.0,739.0,3829.0,255.0,43953.0,0
43,33.0,358.0,25.0,68337.0,756.0,72.0,691.0,3590.0,273.0,42446.0,1
52,30.0,126.0,31.0,90855.0,716.0,94.0,680.0,3831.0,277.0,27380.0,0
73,25.0,206.0,48.0,49494.0,390.0,49.0,977.0,4958.0,166.0,49653.0,1
28,35.0,213.0,39.0,75101.0,887.0,91.0,478.0,2621.0,348.0,29888.0,0
64,40.0,343.0,16.0,100.0,10.0,1.0,10.0,10.0,500.0,16440.0,1
77,39.0,104.0,10.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
23,9.0,206.0,39.0,76641.0,879.0,92.0,489.0,2689.0,344.0,29390.0,0
59,39.0,293.0,29.0,60373.0,930.0,85.0,433.0,2257.0,363.0,34881.0,0
30,18.0,133.0,36.0,98001.0,605.0,99.0,764.0,4389.0,246.0,22702.0,0
37,17.0,329.0,39.0,92413.0,660.0,95.0,732.0,4134.0,257.0,26992.0,1
78,23.0,249.0,50.0,38829.0,160.0,36.0,982.0,4827.0,165.0,49682.0,1
33,16.0,228.0,48.0,49074.0,414.0,51.0,968.0,4928.0,170.0,49375.0,1
71,1.0,329.0,13.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
25,29.0,97.0,23.0,64682.0,615.0,59.0,848.0,4344.0,215.0,47741.0,0
57,36.0,285.0,35.0,77628.0,930.0,96.0,404.0,2257.0,373.0,26199.0,0
20,29.0,162.0,40.0,85612.0,726.0,90.0,681.0,3772.0,276.0,30743.0,0
68,20.0,336.0,38.0,95585.0,614.0,96.0,767.0,4351.0,245.0,25592.0,1
27,6.0,184.0,31.0,70456.0,962.0,91.0,366.0,1964.0,385.0,29924.0,0
38,28.0,206.0,47.0,56975.0,544.0,60.0,896.0,4617.0,197.0,47528.0,1
55,14.0,104.0,25.0,72150.0,689.0,69.0,768.0,3986.0,245.0,44095.0,0
73,1.0,271.0,22.0,15569.0,36.0,53.0,914.0,4437.0,191.0,49116.0,1
5,11.0,322.0,35.0,87498.0,806.0,98.0,569.0,3249.0,316.0,24489.0,0
49,10.0,293.0,38.0,81096.0,851.0,94.0,522.0,2915.0,333.0,27673.0,0
25,24.0,307.0,44.0,75083.0,658.0,75.0,785.0,4146.0,239.0,41277.0,1
24,28.0,133.0,35.0,96236.0,649.0,99.0,729.0,4189.0,259.0,22818.0,0
18,4.0,278.0,28.0,57521.0,926.0,85.0,440.0,2290.0,361.0,35112.0,0
49,32.0,256.0,44.0,66273.0,737.0,76.0,704.0,3703.0,268.0,40625.0,1
32,38.0,314.0,27.0,60095.0,875.0,80.0,524.0,2720.0,332.0,37986.0,0
5,35.0,322.0,31.0,79417.0,887.0,93.0,475.0,2623.0,349.0,28605.0,0
31,20.0,199.0,48.0,52420.0,432.0,51.0,962.0,4900.0,172.0,49350.0,1
6,30.0,322.0,38.0,89619.0,733.0,96.0,659.0,3733.0,284.0,26020.0,0
31,40.0,141.0,18.0,3876.0,10.0,16.0,110.0,10.0,465.0,44136.0,1
71,30.0,133.0,33.0,92838.0,709.0,98.0,678.0,3872.0,277.0,24414.0,1
14,31.0,90.0,18.0,31565.0,35.0,23.0,929.0,4434.0,185.0,46883.0,1
7,25.0,162.0,43.0,81523.0,676.0,82.0,752.0,4052.0,251.0,36883.0,0
60,8.0,90.0,11.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
16,35.0,177.0,35.0,80864.0,895.0,96.0,453.0,2556.0,356.0,25662.0,0
73,9.0,213.0,39.0,75381.0,876.0,91.0,497.0,2718.0,341.0,30371.0,0
35,7.0,278.0,35.0,75864.0,950.0,95.0,373.0,2071.0,383.0,26415.0,0
13,24.0,271.0,49.0,48160.0,359.0,47.0,985.0,4985.0,163.0,49832.0,1
79,20.0,90.0,23.0,70362.0,597.0,60.0,860.0,4421.0,211.0,47469.0,1
28,36.0,148.0,28.0,69592.0,879.0,84.0,510.0,2688.0,337.0,35744.0,0
24,27.0,264.0,48.0,50661.0,432.0,52.0,961.0,4899.0,172.0,49246.0,1
27,14.0,271.0,45.0,63342.0,651.0,68.0,802.0,4177.0,232.0,44317.0,1
15,4.0,365.0,11.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
11,23.0,126.0,35.0,99954.0,570.0,100.0,788.0,4529.0,237.0,22152.0,0
5,16.0,191.0,45.0,64920.0,629.0,67.0,823.0,4281.0,224.0,44880.0,0
28,27.0,329.0,39.0,92287.0,666.0,95.0,727.0,4106.0,259.0,26821.0,1
31,37.0,90.0,9.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
40,26.0,307.0,43.0,76999.0,679.0,78.0,758.0,4035.0,248.0,39451.0,1
16,23.0,141.0,38.0,95471.0,613.0,96.0,768.0,4355.0,244.0,25814.0,0
63,33.0,126.0,27.0,76070.0,802.0,82.0,616.0,3278.0,300.0,36918.0,0
27,35.0,322.0,31.0,79417.0,887.0,93.0,475.0,2623.0,349.0,28605.0,0
23,1.0,285.0,20.0,6731.0,10.0,39.0,583.0,2174.0,312.0,49877.0,1
23,14.0,170.0,41.0,82833.0,743.0,88.0,668.0,3667.0,281.0,32295.0,0
22,37.0,271.0,35.0,74526.0,961.0,95.0,356.0,1970.0,389.0,26579.0,0
38,24.0,162.0,43.0,80894.0,670.0,81.0,761.0,4086.0,247.0,37638.0,0
32,33.0,97.0,18.0,27654.0,10.0,24.0,894.0,4193.0,199.0,47044.0,1
23,35.0,104.0,18.0,17837.0,10.0,16.0,640.0,2531.0,292.0,44172.0,1
47,35.0,104.0,18.0,17837.0,10.0,16.0,640.0,2531.0,292.0,44172.0,1
56,20.0,184.0,46.0,63063.0,572.0,62.0,875.0,4519.0,205.0,46739.0,1
55,17.0,155.0,40.0,88217.0,681.0,90.0,726.0,4027.0,260.0,30719.0,0
73,25.0,358.0,32.0,98407.0,590.0,98.0,780.0,4451.0,240.0,24237.0,1
75,36.0,343.0,25.0,56616.0,737.0,69.0,719.0,3706.0,263.0,44233.0,1
13,5.0,322.0,24.0,45237.0,660.0,67.0,797.0,4133.0,234.0,45001.0,0
24,2.0,119.0,8.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
10,16.0,112.0,28.0,89488.0,672.0,88.0,741.0,4074.0,254.0,32680.0,0
60,1.0,264.0,22.0,18543.0,142.0,57.0,958.0,4786.0,174.0,48265.0,1
36,32.0,104.0,22.0,54987.0,569.0,54.0,888.0,4532.0,200.0,48822.0,1
36,7.0,199.0,35.0,75860.0,950.0,95.0,373.0,2071.0,383.0,26414.0,0
7,34.0,351.0,26.0,68230.0,789.0,75.0,646.0,3365.0,289.0,40950.0,0
75,29.0,264.0,46.0,57242.0,566.0,61.0,880.0,4540.0,203.0,47002.0,1
71,38.0,358.0,17.0,100.0,10.0,1.0,10.0,10.0,500.0,30870.0,1
16,6.0,199.0,33.0,72125.0,975.0,94.0,338.0,1842.0,395.0,27806.0,0
30,28.0,336.0,36.0,95004.0,661.0,99.0,721.0,4131.0,262.0,23527.0,1
41,12.0,104.0,22.0,57123.0,589.0,56.0,871.0,4452.0,206.0,48502.0,0
75,12.0,90.0,17.0,22824.0,10.0,12.0,708.0,2988.0,267.0,42299.0,1
49,30.0,278.0,44.0,67044.0,693.0,73.0,756.0,3962.0,249.0,42281.0,1
10,29.0,126.0,32.0,93713.0,681.0,96.0,709.0,4028.0,266.0,25442.0,0
53,13.0,314.0,38.0,87262.0,757.0,94.0,636.0,3582.0,292.0,27234.0,1
69,6.0,256.0,34.0,72470.0,979.0,95.0,328.0,1800.0,398.0,26903.0,0
22,25.0,322.0,41.0,86963.0,668.0,88.0,745.0,4092.0,253.0,32734.0,1
23,31.0,119.0,28.0,81956.0,755.0,84.0,665.0,3592.0,282.0,35315.0,0
67,33.0,220.0,42.0,69591.0,792.0,81.0,630.0,3345.0,295.0,37313.0,1
68,40.0,119.0,13.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
69,23.0,343.0,36.0,98505.0,586.0,99.0,780.0,4467.0,240.0,23073.0,1
59,2.0,365.0,6.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
31,25.0,112.0,30.0,95325.0,611.0,93.0,779.0,4365.0,240.0,28501.0,0
5,29.0,148.0,37.0,92337.0,697.0,97.0,691.0,3938.0,273.0,24817.0,0
57,19.0,97.0,25.0,81051.0,645.0,73.0,798.0,4207.0,234.0,41886.0,0
18,40.0,170.0,24.0,40260.0,622.0,68.0,828.0,4313.0,223.0,44611.0,1
51,19.0,104.0,28.0,89917.0,634.0,85.0,781.0,4258.0,240.0,34659.0,0
61,14.0,97.0,22.0,59531.0,570.0,54.0,887.0,4525.0,201.0,48868.0,1
43,5.0,141.0,21.0,27535.0,211.0,47.0,986.0,4922.0,163.0,49856.0,1
62,6.0,307.0,29.0,66197.0,925.0,86.0,437.0,2294.0,362.0,34135.0,0
